iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0,68,0.09710222482681274,0.0019389499114828642,0.0023690462112426758,0.0002319428344916185,0.1,7,50,190,22,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__min_samples_leaf': 50, 'clf__n_estimators': 190, 'pca__n_components': 22}",0.5,0.5,0.5,0.5,0.5,0.0,371,0.5,0.5,0.5,0.5,0.5,0.0
0,68,0.09493380784988403,0.0011027068493765775,0.0021445751190185547,5.681995458752042e-05,0.1,7,50,190,20,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__min_samples_leaf': 50, 'clf__n_estimators': 190, 'pca__n_components': 20}",0.5,0.5,0.5,0.5,0.5,0.0,371,0.5,0.5,0.5,0.5,0.5,0.0
0,68,0.09393364191055298,0.0007426586688208842,0.0021146535873413086,5.74738386074493e-05,0.1,7,50,190,18,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__min_samples_leaf': 50, 'clf__n_estimators': 190, 'pca__n_components': 18}",0.5,0.5,0.5,0.5,0.5,0.0,371,0.5,0.5,0.5,0.5,0.5,0.0
0,68,0.09613800048828125,0.0008658105128971064,0.0023972392082214355,0.00027021206108402237,0.1,7,50,190,16,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__min_samples_leaf': 50, 'clf__n_estimators': 190, 'pca__n_components': 16}",0.5,0.5,0.5,0.5,0.5,0.0,371,0.5,0.5,0.5,0.5,0.5,0.0
0,68,0.10233509540557861,0.00346545504851505,0.0023397207260131836,0.00034104561042350086,0.1,7,50,200,22,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__min_samples_leaf': 50, 'clf__n_estimators': 200, 'pca__n_components': 22}",0.5,0.5,0.5,0.5,0.5,0.0,371,0.5,0.5,0.5,0.5,0.5,0.0
0,68,0.10002487897872925,0.0021770535553175185,0.0023644566535949707,0.0001782854037632308,0.1,7,50,200,20,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__min_samples_leaf': 50, 'clf__n_estimators': 200, 'pca__n_components': 20}",0.5,0.5,0.5,0.5,0.5,0.0,371,0.5,0.5,0.5,0.5,0.5,0.0
0,68,0.10491085052490234,0.0035822553086828843,0.002402663230895996,0.0001694418633410601,0.1,7,50,200,18,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__min_samples_leaf': 50, 'clf__n_estimators': 200, 'pca__n_components': 18}",0.5,0.5,0.5,0.5,0.5,0.0,371,0.5,0.5,0.5,0.5,0.5,0.0
0,68,0.09956502914428711,0.0009283182304061513,0.0022743940353393555,5.894691441439651e-05,0.1,7,50,200,16,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__min_samples_leaf': 50, 'clf__n_estimators': 200, 'pca__n_components': 16}",0.5,0.5,0.5,0.5,0.5,0.0,371,0.5,0.5,0.5,0.5,0.5,0.0
0,68,0.11247766017913818,0.0009482773494109718,0.002324044704437256,0.0001224601905331617,0.1,7,50,225,22,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__min_samples_leaf': 50, 'clf__n_estimators': 225, 'pca__n_components': 22}",0.5,0.5,0.5,0.5,0.5,0.0,371,0.5,0.5,0.5,0.5,0.5,0.0
0,68,0.11070269346237183,0.0015583995237492966,0.002208411693572998,6.134250466177082e-05,0.1,7,50,225,20,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__min_samples_leaf': 50, 'clf__n_estimators': 225, 'pca__n_components': 20}",0.5,0.5,0.5,0.5,0.5,0.0,371,0.5,0.5,0.5,0.5,0.5,0.0
0,68,0.1120947003364563,0.0008667360985852462,0.002320408821105957,1.4303624552356065e-05,0.1,7,50,225,18,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__min_samples_leaf': 50, 'clf__n_estimators': 225, 'pca__n_components': 18}",0.5,0.5,0.5,0.5,0.5,0.0,371,0.5,0.5,0.5,0.5,0.5,0.0
0,68,0.11070585250854492,0.00048381803549493025,0.0022279024124145508,0.0001354834947237084,0.1,7,50,225,16,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__min_samples_leaf': 50, 'clf__n_estimators': 225, 'pca__n_components': 16}",0.5,0.5,0.5,0.5,0.5,0.0,371,0.5,0.5,0.5,0.5,0.5,0.0
0,68,0.12378150224685669,0.0013589471193999846,0.0022219419479370117,8.051570504103175e-05,0.1,7,50,250,22,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__min_samples_leaf': 50, 'clf__n_estimators': 250, 'pca__n_components': 22}",0.5,0.5,0.5,0.5,0.5,0.0,371,0.5,0.5,0.5,0.5,0.5,0.0
0,68,0.1258670687675476,0.0017828366202526816,0.00233304500579834,3.6883477480188504e-05,0.1,7,50,250,20,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__min_samples_leaf': 50, 'clf__n_estimators': 250, 'pca__n_components': 20}",0.5,0.5,0.5,0.5,0.5,0.0,371,0.5,0.5,0.5,0.5,0.5,0.0
0,68,0.1232537031173706,0.0014628388848793499,0.002246677875518799,0.00017412600022068668,0.1,7,50,250,18,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__min_samples_leaf': 50, 'clf__n_estimators': 250, 'pca__n_components': 18}",0.5,0.5,0.5,0.5,0.5,0.0,371,0.5,0.5,0.5,0.5,0.5,0.0
0,68,0.12220621109008789,0.0018091196833500765,0.0022115707397460938,9.728193841103103e-05,0.1,7,50,250,16,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__min_samples_leaf': 50, 'clf__n_estimators': 250, 'pca__n_components': 16}",0.5,0.5,0.5,0.5,0.5,0.0,371,0.5,0.5,0.5,0.5,0.5,0.0
0,68,0.13508671522140503,0.0008986041534841828,0.002160966396331787,4.543653118402958e-05,0.1,7,50,275,22,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__min_samples_leaf': 50, 'clf__n_estimators': 275, 'pca__n_components': 22}",0.5,0.5,0.5,0.5,0.5,0.0,371,0.5,0.5,0.5,0.5,0.5,0.0
0,68,0.13472652435302734,0.0014619878690601807,0.00223696231842041,6.321409092632139e-05,0.1,7,50,275,20,"{'clf__learning_rate': 0.1, 'clf__max_depth': 7, 'clf__min_samples_leaf': 50, 'clf__n_estimators': 275, 'pca__n_components': 20}",0.5,0.5,0.5,0.5,0.5,0.0,371,0.5,0.5,0.5,0.5,0.5,0.0
